"commuter_id","station_lat","station_long","current_lat","current_long","destination_lat","destination_long"
1,1.3513141,103.8469711,1.35098174092773,103.847581735813,1.38546098963569,103.898313329525
2,1.3513141,103.8469711,1.35099772226697,103.847787636922,1.26838174226282,103.805475314275
3,1.3513141,103.8469711,1.35100731628008,103.847809588612,1.32341097626229,103.892770438932
4,1.3513141,103.8469711,1.35090746086555,103.847724649056,1.35844755258216,103.951480016995
5,1.3513141,103.8469711,1.35086052517508,103.847755450306,1.32211095519084,103.951132589181
6,1.3513141,103.8469711,1.35083893186882,103.847824193233,1.31870043065512,103.899299196165
7,1.3513141,103.8469711,1.35096602942974,103.847694548203,1.34675664173097,103.937778071193
8,1.3513141,103.8469711,1.35089635858672,103.847893149948,1.35506972518649,103.954428674724
10,1.3513141,103.8469711,1.35096529922275,103.847805178774,1.32548426374107,103.895587441023
11,1.3513141,103.8469711,1.35116244191553,103.847528338402,1.32487846561699,103.945861599424
12,1.3513141,103.8469711,1.35070433172709,103.848070843886,1.3192456580105,103.90062673415
14,1.3513141,103.8469711,1.35057172761919,103.849794163098,1.34788057086949,103.941932435001
15,1.3513141,103.8469711,1.35087097963772,103.84777278009,1.34638945969537,103.713922684877
16,1.3513141,103.8469711,1.3508212481314,103.847757666916,1.32669727099463,103.937349385394
17,1.3513141,103.8469711,1.35008378306014,103.846381781053,1.34920676270458,103.951440335299
19,1.3513141,103.8469711,1.35101258182396,103.847703961077,1.30457015628796,103.79913865346
20,1.3513141,103.8469711,1.35087811729202,103.847866766512,1.27214513684964,103.814098433145
21,1.3513141,103.8469711,1.35260618115804,103.846082401334,1.3494894110134,103.954921005959
22,1.3513141,103.8469711,1.35096256539017,103.848032500337,1.35649709558633,103.939882199675
23,1.3513141,103.8469711,1.35086951582775,103.848028685958,1.31736408429633,103.903584969215
25,1.3513141,103.8469711,1.35116476430311,103.84755152019,1.35082627284055,103.946173685416
26,1.3513141,103.8469711,1.35085749901176,103.847818588565,1.3751213665499,103.891927853114
27,1.3513141,103.8469711,1.34874753883614,103.845963013721,1.35100173876744,103.724928646287
28,1.3513141,103.8469711,1.35114445038876,103.847542157457,1.38092767789164,103.893335779628
29,1.3513141,103.8469711,1.35111103084782,103.847568945847,1.32577325535292,103.899161619266
30,1.3513141,103.8469711,1.3507269991098,103.848063892907,1.26895965313315,103.817658735246
31,1.3513141,103.8469711,1.35093605526421,103.847566689316,1.31695851849771,103.903247789849
32,1.3513141,103.8469711,1.35094255966966,103.848125047679,1.31762026087871,103.884826651416
33,1.3513141,103.8469711,1.35111838592866,103.847678893488,1.3218447357016,103.893389036153
34,1.3513141,103.8469711,1.34871627894293,103.845844545435,1.27605169383651,103.812346106789
35,1.3513141,103.8469711,1.35103747408077,103.847703263202,1.31368222517181,103.902413003895
36,1.3513141,103.8469711,1.35113498128939,103.847568772794,1.32288763140009,103.907741553995
37,1.3513141,103.8469711,1.35154782274045,103.847457065605,1.3226684782475,103.895867537251
38,1.3513141,103.8469711,1.35094464102436,103.847511027483,1.33783491255682,103.896248902659
